"","mth","yr","n"
"1",1,2013,105
"2",1,2014,81
"3",1,2015,83
"4",1,2016,86
"5",1,2017,102
"6",1,2018,105
"7",1,2019,105
"8",2,2013,56
"9",2,2014,64
"10",2,2015,82
"11",2,2016,97
"12",2,2017,107
"13",2,2018,89
"14",2,2019,80
"15",3,2013,98
"16",3,2014,99
"17",3,2015,106
"18",3,2016,101
"19",3,2017,87
"20",3,2018,115
"21",3,2019,92
"22",4,2013,94
"23",4,2014,90
"24",4,2015,95
"25",4,2016,79
"26",4,2017,73
"27",4,2018,101
"28",4,2019,81
"29",5,2013,103
"30",5,2014,99
"31",5,2015,77
"32",5,2016,83
"33",5,2017,92
"34",5,2018,91
"35",5,2019,83
"36",6,2013,111
"37",6,2014,91
"38",6,2015,73
"39",6,2016,99
"40",6,2017,91
"41",6,2018,89
"42",6,2019,93
"43",7,2013,107
"44",7,2014,85
"45",7,2015,117
"46",7,2016,88
"47",7,2017,103
"48",7,2018,96
"49",7,2019,91
"50",8,2013,95
"51",8,2014,114
"52",8,2015,103
"53",8,2016,95
"54",8,2017,94
"55",8,2018,102
"56",8,2019,101
"57",9,2013,81
"58",9,2014,77
"59",9,2015,89
"60",9,2016,81
"61",9,2017,74
"62",9,2018,86
"63",9,2019,88
"64",10,2013,113
"65",10,2014,80
"66",10,2015,93
"67",10,2016,85
"68",10,2017,95
"69",10,2018,83
"70",10,2019,93
"71",11,2013,75
"72",11,2014,88
"73",11,2015,85
"74",11,2016,91
"75",11,2017,92
"76",11,2018,85
"77",11,2019,82
"78",12,2013,73
"79",12,2014,91
"80",12,2015,100
"81",12,2016,86
"82",12,2017,85
"83",12,2018,101
"84",12,2019,110
